"id","luz","horas_luz","temperatura","humedad","humedad_suelo","nivel_id","fecha","etiqueta"
"6852","13289.6","15.03","25.12","64","611.5","1","2021-11-19 04:15:03","17"
"6853","13289.6","15.02","25.09","63","612","1","2021-11-19 04:15:08","17"
"6854","13210.1","3.57","25.2","63","612","1","2021-11-19 04:15:13","14"
"6855","13210.1","17.1","25.2","63","612","1","2021-11-19 04:15:18","17"
"6856","13210.1","0.03","25.09","63","612","1","2021-11-19 04:15:23","14"
"6857","13210.1","7.75","25.06","62","611.5","1","2021-11-19 04:15:28","14"
"6858","13289.6","4.64","25.06","62","610.5","1","2021-11-19 04:15:33","14"
"6859","13210.1","13.01","25.17","62","610.5","1","2021-11-19 04:15:38","17"
"6860","14367.7","9.2","25.06","62","610","1","2021-11-19 04:15:43","14"
"6861","13210.1","16.19","25.09","63","612","1","2021-11-19 04:15:48","17"
"6862","13210.1","6.2","25.17","62","614","1","2021-11-19 04:15:53","14"
"6863","13289.6","3.81","25.09","63","614","1","2021-11-19 04:15:58","14"
"6864","13210.1","3.6","25.25","65","612","1","2021-11-19 04:16:03","14"
"6865","13210.1","13.86","25.36","65","605.5","1","2021-11-19 04:16:08","17"
"6866","13289.6","6.42","25.23","64","611.5","1","2021-11-19 04:16:13","14"
"6867","13210.1","9.07","25.2","63","613","1","2021-11-19 04:16:18","14"
"6868","13131.1","10.64","25.2","63","614","1","2021-11-19 04:16:23","14"
"6869","13210.1","18.8","24.98","63","615.5","1","2021-11-19 04:16:28","17"
"6870","13210.1","18.79","25.2","63","614","1","2021-11-19 04:16:33","17"
"6871","13289.6","6.45","25.17","62","605.5","1","2021-11-19 04:16:38","14"
"6872","13131.1","16.88","25.17","62","614","1","2021-11-19 04:16:43","17"
"6873","13210.1","14.65","25.17","62","617","1","2021-11-19 04:16:48","17"
"6874","13289.6","12.97","25.06","62","617","1","2021-11-19 04:16:53","17"
"6875","13210.1","8.03","25.17","62","616.5","1","2021-11-19 04:16:58","14"
"6876","13210.1","0.41","25.04","61","617","1","2021-11-19 04:17:03","14"
"6877","13210.1","15.76","25.04","61","609.5","1","2021-11-19 04:17:08","17"
"6878","13210.1","14.74","25.04","61","617","1","2021-11-19 04:17:13","17"
"6879","13289.6","13.13","25.04","61","617","1","2021-11-19 04:17:18","17"
"6880","13210.1","11.84","25.15","61","616.5","1","2021-11-19 04:17:23","14"
"6881","13131.1","12.49","25.04","61","615.5","1","2021-11-19 04:17:28","17"
"6882","13210.1","7.27","25.04","61","606","1","2021-11-19 04:17:33","14"
"6883","13210.1","10.99","25.04","61","607","1","2021-11-19 04:17:38","14"
"6884","13210.1","16.91","25.15","61","615.5","1","2021-11-19 04:17:43","17"
"6885","13210.1","9.95","25.04","61","615","1","2021-11-19 04:17:48","14"
"6886","14196.3","12.83","25.17","62","614","1","2021-11-19 04:17:53","17"
"6887","13210.1","16.62","25.06","62","615.5","1","2021-11-19 04:17:58","17"
"6888","13210.1","4.91","25.04","61","616","1","2021-11-19 04:18:03","14"
"6889","13210.1","4.57","25.04","61","607.5","1","2021-11-19 04:18:08","14"
"6890","13210.1","16.19","25.06","62","616.5","1","2021-11-19 04:18:13","17"
"6891","13210.1","12.97","24.95","62","615.5","1","2021-11-19 04:18:18","17"
"6892","14281.7","10.5","25.17","62","615","1","2021-11-19 04:18:23","14"
"6893","13210.1","11.97","25.09","63","616","1","2021-11-19 04:18:28","14"
"6894","13052.5","8.21","25.06","62","617","1","2021-11-19 04:18:33","14"
"6895","13131.1","4.55","25.06","62","617.5","1","2021-11-19 04:18:38","14"
"6896","13131.1","2.28","25.06","62","618.5","1","2021-11-19 04:18:43","14"
"6897","13052.5","6.03","25.2","63","617.5","1","2021-11-19 04:18:48","14"
"6898","14196.3","13.21","25.06","62","616.5","1","2021-11-19 04:18:53","17"
"6899","13289.6","7.09","25.09","63","615.5","1","2021-11-19 04:18:58","14"
"6900","13210.1","13.59","25.09","63","616","1","2021-11-19 04:19:03","17"
"6901","13210.1","6.27","25.12","64","615.5","1","2021-11-19 04:19:08","14"
"6902","13131.1","3.41","25.12","64","616.5","1","2021-11-19 04:19:13","14"
"6903","13131.1","15.37","25.01","64","617","1","2021-11-19 04:19:18","17"
"6904","14027","15.16","25.09","63","617.5","1","2021-11-19 04:19:23","17"
"6905","13052.5","17.23","25.09","63","617","1","2021-11-19 04:19:28","17"
"6906","13131.1","11.63","25.2","63","617","1","2021-11-19 04:19:33","14"
"6907","13210.1","17","25.2","63","617.5","1","2021-11-19 04:19:38","17"
"6908","14196.3","16.47","25.2","63","618.5","1","2021-11-19 04:19:43","17"
"6909","13052.5","16.24","25.25","65","617","1","2021-11-19 04:19:48","17"
"6910","14196.3","2.63","25.09","63","615.5","1","2021-11-19 04:19:53","14"
"6911","13131.1","14.71","25.2","63","617","1","2021-11-19 04:19:58","17"
"6912","13131.1","6.43","25.2","63","617","1","2021-11-19 04:20:03","14"
"6913","13052.5","13.71","25.09","63","617","1","2021-11-19 04:20:08","17"
"6914","13210.1","13.06","25.09","63","619","1","2021-11-19 04:20:13","17"
"6915","14196.3","2.67","25.09","63","618.5","1","2021-11-19 04:20:18","14"
"6916","13210.1","16.13","25.17","62","619.5","1","2021-11-19 04:20:23","17"
"6917","14111.4","11.24","25.17","62","618","1","2021-11-19 04:20:28","14"
"6918","13052.5","12.62","25.17","62","618","1","2021-11-19 04:20:33","17"
"6919","13052.5","16.36","25.06","62","618","1","2021-11-19 04:20:38","17"
"6920","13052.5","4.74","25.06","62","612","1","2021-11-19 04:20:43","14"
"6921","13131.1","6.99","25.2","63","618.5","1","2021-11-19 04:20:48","14"
"6922","13052.5","9.72","25.23","64","618","1","2021-11-19 04:20:53","14"
"6923","13052.5","17.25","25.09","63","618.5","1","2021-11-19 04:20:58","17"
"6924","13052.5","14.47","25.12","64","619","1","2021-11-19 04:21:03","17"
"6925","13210.1","0.28","25.2","63","620","1","2021-11-19 04:21:08","14"
"6926","13052.5","1.94","25.2","63","612","1","2021-11-19 04:21:13","14"
"6927","13052.5","4.3","25.2","63","619.5","1","2021-11-19 04:21:18","14"
"6928","13052.5","8.21","25.09","63","619.5","1","2021-11-19 04:21:23","14"
"6929","13131.1","16.92","25.2","63","620","1","2021-11-19 04:21:28","17"
"6930","13131.1","18.61","25.17","62","620.5","1","2021-11-19 04:21:33","17"
"6931","13052.5","18.56","25.2","63","619.5","1","2021-11-19 04:21:38","17"
"6932","13052.5","17.5","25.2","63","613","1","2021-11-19 04:21:43","17"
"6933","13052.5","2.31","25.17","62","620","1","2021-11-19 04:21:48","14"
"6934","13052.5","7.01","25.17","62","619.5","1","2021-11-19 04:21:53","14"
"6935","13210.1","4.18","25.2","63","619","1","2021-11-19 04:21:58","14"
"6936","13131.1","2.93","25.09","63","620","1","2021-11-19 04:22:03","14"
"6937","13052.5","12.88","25.2","63","620","1","2021-11-19 04:22:08","17"
"6938","13131.1","0.46","25.23","64","613","1","2021-11-19 04:22:13","14"
"6939","13131.1","1.78","25.34","64","619.5","1","2021-11-19 04:22:18","14"
"6940","13052.5","11.51","25.23","64","620.5","1","2021-11-19 04:22:23","14"
"6941","14196.3","14.56","25.09","63","620.5","1","2021-11-19 04:22:28","17"
"6942","13131.1","15.66","25.2","63","621.5","1","2021-11-19 04:22:33","17"
"6943","13052.5","9.88","25.2","63","621.5","1","2021-11-19 04:22:38","14"
"6944","13131.1","3.61","25.2","63","612.5","1","2021-11-19 04:22:43","14"
"6945","13131.1","7.68","25.09","63","619.5","1","2021-11-19 04:22:48","14"
"6946","13131.1","7.86","25.2","63","620.5","1","2021-11-19 04:23:01","14"
"6947","14805.2","15.95","20.6","89","640","1","2021-11-19 04:38:24","19"
"6948","14454.1","14.94","20.13","88","652","1","2021-11-19 04:38:29","19"
"6949","12743","5.18","20.13","88","665","1","2021-11-19 04:38:35","8"
"6950","14805.2","17.27","20.16","89","668","1","2021-11-19 04:38:40","19"
"6951","13943","11.17","20.19","90","668.5","1","2021-11-19 04:38:46","8"
"6952","12515.7","0.82","20.27","89","668.5","1","2021-11-19 04:38:51","8"
"6953","13776.7","12.37","20.24","88","661.5","1","2021-11-19 04:38:57","19"
"6954","13943","4.94","20.13","88","666","1","2021-11-19 04:39:02","8"
"6955","13943","14.17","20.33","87","665","1","2021-11-19 04:39:07","19"
"6956","14454.1","8.34","20.22","87","663","1","2021-11-19 04:39:13","8"
